from_id,to_id,is_connector,funcclass,lanes,speed,length,alpha,beta,Q
2:458870,2:3710712,f,4,2.0,50,70.830762646854,0.6,5,1200
11178:2790,11178:2794,f,7,1.0,50,134.058680990328,0.7,4,600
2:455248,2:455265,f,7,1.0,40,98.8701229340962,0.7,4,600
2:448395,18931:174747,f,3,2.0,90,179.971376927235,0.5,6,1800
2:3707583,2:450816,f,4,2.0,70,446.0383875247,0.6,5,1200
20656:2660993,20656:2660991,f,7,1.0,50,59.583428707422,0.7,4,600
10027:794753,2:3709873,f,5,1.0,70,88.8564946950149,0.6,5,1200
11178:6875,20656:2869726,f,7,1.0,50,15.5592684273983,0.7,4,600
20656:2860820,12732:25636,f,7,1.0,30,8.41950479543887,0.7,4,600
20656:341721,20656:2873749,f,7,1.0,30,507.238951650341,0.7,4,600
20656:343467,20656:343465,f,7,1.0,40,95.5013481670695,0.7,4,600
16587:25365,2:456258,f,7,1.0,50,42.3701540359737,0.7,4,600
2:3708805,20656:2875426,f,7,1.0,40,13.3610587901032,0.7,4,600
2:3709709,2:3709863,f,7,1.0,70,89.1321283935678,0.7,4,600
2:3710900,2:459669,f,7,1.0,30,79.3187493627949,0.7,4,600
2:460381,2:3711063,f,7,1.0,30,134.087578613172,0.7,4,600
2:444164,2:444225,f,5,2.0,50,142.94688338251,0.6,5,1200
2:453908,2:453852,f,5,2.0,30,64.5855584472831,0.6,5,1200
2:3708519,2:3708451,f,7,1.0,30,41.4962538259434,0.7,4,600
2:462617,20656:2824893,f,7,1.0,30,73.2106641430182,0.7,4,600
2:3711092,2:3711071,f,5,1.0,60,197.729056685688,0.6,5,1200
12726:148557,2:447562,f,4,2.0,70,14.2313383072113,0.6,5,1200
10027:777364,2:3709446,f,7,1.0,70,331.361146958456,0.7,4,600
2:456026,1:200402300,f,5,1.0,70,238.551641220062,0.6,5,1200
2:458854,18931:172374,f,7,1.0,30,63.5911078769273,0.7,4,600
20656:2874442,2:453359,f,7,1.0,40,154.671452045909,0.7,4,600
10027:778076,10027:778119,f,7,1.0,30,115.0982806825,0.7,4,600
2:454521,2:454529,f,7,1.0,30,47.0231312294668,0.7,4,600
20656:2836346,2:456361,f,7,1.0,30,11.7609588469852,0.7,4,600
2:446132,2:446205,f,5,2.0,70,245.941761844938,0.6,5,1200
1:200305400,12726:148240,f,4,2.0,40,20.9591881020187,0.6,5,1200
12732:25984,16592:20818,f,7,1.0,40,102.009337488578,0.7,4,600
2:447240,2:447434,f,3,2.0,70,208.519442332506,0.5,6,1800
2:3706429,2:445133,f,3,2.0,50,205.955154425635,0.5,6,1800
2:456771,2:456781,f,7,1.0,30,93.8775522318167,0.7,4,600
2:445638,2:445589,f,5,2.0,70,185.506997204065,0.6,5,1200
20656:3691217,10082:132756,f,4,2.0,60,200.551384317787,0.6,5,1200
20656:3691211,20656:3691221,f,7,1.0,30,295.003225806834,0.7,4,600
11158:99088,2:3709562,f,7,1.0,30,100.153764397649,0.7,4,600
2:455826,2:455859,f,5,1.0,70,40.4599320824414,0.6,5,1200
2:3710907,15610:9728,f,5,1.0,40,88.6567213075904,0.6,5,1200
2:454474,20656:2875424,f,7,1.0,50,19.7089758485561,0.7,4,600
2:3708805,20656:2852247,f,7,1.0,50,11.9816894468682,0.7,4,600
11154:7553,2:453719,f,7,1.0,50,25.5432682715407,0.7,4,600
2:457055,2:3709861,f,7,1.0,30,72.2358429795311,0.7,4,600
10446:397,10446:411,f,1,1.0,70,80.2480576224078,0.4,8,2000
16666:39260,2:455697,f,7,1.0,40,33.3534248387621,0.7,4,600
2:456120,20656:2836168,f,7,1.0,40,48.0246045228474,0.7,4,600
2:3708468,10747:1976,f,0,1.0,70,3.35039654372372,0.4,8,2000
1:200304709,1:200301608,f,3,2.0,40,135.96418610259,0.5,6,1800
11178:6673,20656:2860701,f,7,1.0,30,74.3235704412521,0.7,4,600
2:3708136,11155:30856,f,5,2.0,50,61.0860033411506,0.6,5,1200
2:3709665,2:3709704,f,7,1.0,30,416.283953485596,0.7,4,600
1:200303318,20656:2836928,f,7,1.0,30,10.3195582265397,0.7,4,600
20656:4402245,2:457188,f,7,1.0,30,223.127516365738,0.7,4,600
16587:25369,16587:25375,f,7,1.0,50,18.5995303435226,0.7,4,600
2:3707800,2:451176,f,5,1.0,40,66.6574679722582,0.6,5,1200
2:455704,2:455699,f,5,1.0,50,33.8270395102318,0.6,5,1200
12726:148418,2:3709686,f,7,1.0,50,57.5625528362183,0.7,4,600
20656:2878989,2:3708642,f,7,1.0,50,324.826202162986,0.7,4,600
2480C1290,20656:2868425,t,7,1.0,30,100.0,0.7,4,600
2:450887,2:451055,f,7,1.0,30,139.677645048664,0.7,4,600
20656:343087,20656:343091,f,4,1.0,70,53.2349998504989,0.6,5,1200
2:443643,2:3706264,f,5,1.0,70,115.611107563583,0.6,5,1200
20656:4228356,16591:14145,f,7,1.0,30,143.820367946011,0.7,4,600
20656:2878909,16669:27384,f,7,1.0,60,662.520257374039,0.7,4,600
2:3709180,11178:3157,f,7,1.0,30,82.0735572324622,0.7,4,600
2:456422,11158:99220,f,7,1.0,50,8.66406099874813,0.7,4,600
16587:25001,16587:24992,f,7,1.0,30,15.9635547426844,0.7,4,600
2:3710940,2:3710952,f,7,1.0,30,211.487635054804,0.7,4,600
10082:113762,20656:2836934,f,4,1.0,40,14.6763280758365,0.6,5,1200
20656:2876855,12734:47857,f,7,1.0,50,88.8234204939067,0.7,4,600
2:460022,2:459958,f,7,1.0,30,258.527151623415,0.7,4,600
20656:2824224,2:450896,f,7,1.0,30,126.309495115801,0.7,4,600
2:458755,2:3710598,f,5,2.0,70,49.1837731943637,0.6,5,1200
2:453220,2:3708376,f,4,2.0,50,90.8409383466584,0.6,5,1200
2:450448,2:450550,f,5,2.0,70,361.818587674635,0.6,5,1200
18931:167090,2:3707288,f,7,1.0,30,92.5100020596432,0.7,4,600
2:455782,2:3709439,f,4,2.0,50,108.585421790531,0.6,5,1200
2:460158,2:460054,f,7,1.0,40,204.073878234204,0.7,4,600
2:448539,10027:768979,f,7,1.0,70,402.040834102633,0.7,4,600
11178:8529,2:3708897,f,7,1.0,30,14.2773566790187,0.7,4,600
2:440496,2:440473,f,5,2.0,70,92.7010245105154,0.6,5,1200
10082:93783,1:200301616,f,3,1.0,60,4.12244757419641,0.5,6,1800
2:455573,2:455665,f,4,2.0,80,170.221791183838,0.6,5,1200
10082:93706,10082:157715,f,0,1.0,90,141.683256991415,0.4,8,2000
2:450931,2:450817,f,3,2.0,70,228.072545970578,0.5,6,1800
2:460499,20661:1157,f,7,1.0,50,89.6580178906852,0.7,4,600
2:462413,2:462461,f,7,1.0,30,127.729424195068,0.7,4,600
20661:206,2:455230,f,7,1.0,60,5.85512655715011,0.7,4,600
2:453552,2:453551,f,7,1.0,40,84.1903840828294,0.7,4,600
12847:4455,12847:4530,f,0,2.0,110,629.581890566898,0.4,8,2000
20656:2868747,2:455735,f,7,1.0,30,64.7189689889714,0.7,4,600
2:438628,2:3705423,f,4,2.0,70,1523.96912051023,0.6,5,1200
1:209203500,2:3711779,f,7,1.0,70,799.286005975435,0.7,4,600
1:200304702,1:200304703,f,3,2.0,40,30.6510606495059,0.5,6,1800
19308:7580,19308:7572,f,7,1.0,50,111.615583174651,0.7,4,600
2:3708475,2:453295,f,7,1.0,30,160.30799725953,0.7,4,600
20656:2861377,2:456558,f,7,1.0,40,69.949411899011,0.7,4,600
2:450591,11154:13100,f,7,1.0,70,242.964856616282,0.7,4,600
10747:1976,2:3708468,f,0,1.0,70,3.35039654372372,0.4,8,2000
20656:2850092,20656:375442,f,7,1.0,30,320.585552661676,0.7,4,600
2:460078,20656:2866496,f,7,1.0,40,194.113139654308,0.7,4,600
10027:636326,1:200307203,f,4,2.0,40,8.03686712604199,0.6,5,1200
11158:99210,11158:99216,f,7,1.0,50,220.241218873694,0.7,4,600
20656:2852036,2:454630,f,7,1.0,40,11.0553833487156,0.7,4,600
20656:2822638,2:462416,f,7,1.0,40,164.172053611095,0.7,4,600
11154:89014,11154:89016,f,7,1.0,70,72.1551318710812,0.7,4,600
18931:171541,12727:124267,f,4,2.0,70,4.92228138165338,0.6,5,1200
2:459979,2:459943,f,7,1.0,30,50.3732018119928,0.7,4,600
2:462654,2:462677,f,5,2.0,70,479.73939925939,0.6,5,1200
2:3710472,2:458320,f,4,2.0,70,35.2297357779495,0.6,5,1200
11158:99162,15610:9588,f,4,2.0,60,242.439681464398,0.6,5,1200
2:459474,2:459513,f,0,2.0,90,202.041743243699,0.4,8,2000
2:457695,2:457669,f,0,2.0,90,210.453138109555,0.4,8,2000
2:454717,2:454666,f,7,1.0,30,67.4148553259385,0.7,4,600
2:3706293,1:210100800,f,5,2.0,70,425.601353390638,0.6,5,1200
16665:9648,20656:2858914,f,4,2.0,40,10.7374105348886,0.6,5,1200
2:460420,11180:1579,f,7,1.0,30,27.9383999301006,0.7,4,600
2:454131,20656:2870840,f,7,1.0,30,75.7142804602755,0.7,4,600
2:3707385,2:450281,f,7,1.0,70,179.963417818219,0.7,4,600
2:3709959,2:457196,f,7,1.0,30,140.993557515028,0.7,4,600
2:452965,2:3708425,f,7,1.0,30,79.0187120815336,0.7,4,600
16587:24999,11179:380,f,7,1.0,30,97.3274808350646,0.7,4,600
2:450101,2:450103,f,7,1.0,30,37.2017506710809,0.7,4,600
2:454286,2480C1450,t,7,1.0,30,100.0,0.7,4,600
2:462527,2:462529,f,7,1.0,30,108.949654943627,0.7,4,600
20656:2852044,20656:2883414,f,7,1.0,30,147.555517565637,0.7,4,600
2:462436,2:462434,f,7,1.0,30,82.9549913711817,0.7,4,600
20656:341537,20656:341535,f,7,1.0,50,24.9553102259338,0.7,4,600
12727:131723,12734:215009,f,7,1.0,70,1085.63738168517,0.7,4,600
11178:9338,10017:22739,f,7,1.0,30,31.8644643119029,0.7,4,600
2:460636,2:3711171,f,7,1.0,50,46.9919340711728,0.7,4,600
16669:27428,2:453599,f,7,1.0,60,264.137507148491,0.7,4,600
2:462258,2:462273,f,7,1.0,70,297.406781368452,0.7,4,600
2:449175,18931:165181,f,7,1.0,70,1561.17791285715,0.7,4,600
2:460613,2:460556,f,7,1.0,70,208.332994169483,0.7,4,600
20656:2889640,2:3709022,f,7,1.0,40,22.9396504114071,0.7,4,600
20656:2867250,2:454890,f,7,1.0,30,9.0054386342909,0.7,4,600
20656:2827998,2:460020,f,5,1.0,40,111.138488189255,0.6,5,1200
2:452075,20656:2874928,f,7,1.0,30,103.468464400798,0.7,4,600
2:3709015,2:3709088,f,5,2.0,50,118.173224115232,0.6,5,1200
2:456371,11178:6319,f,7,1.0,40,39.4037533256774,0.7,4,600
2:460819,10017:20600,f,7,1.0,50,104.221583919783,0.7,4,600
2:455602,2:455583,f,7,1.0,40,113.131201469796,0.7,4,600
20656:2866482,10082:88080,f,4,2.0,50,24.6347550738957,0.6,5,1200
2:3708129,2:3708295,f,3,2.0,80,65.5802719971902,0.5,6,1800
2:457045,2:457075,f,7,1.0,50,104.91885784294,0.7,4,600
2:455879,20656:2858876,f,7,1.0,30,45.857368411879,0.7,4,600
2:449151,2:449175,f,7,1.0,70,249.22040676868,0.7,4,600
10017:22000,10027:776394,f,7,1.0,50,61.9501839519945,0.7,4,600
2:456026,1:200401900,f,5,1.0,70,215.87050283384,0.6,5,1200
2:454071,2:454079,f,7,1.0,50,26.0397660949382,0.7,4,600
22846:656,2:458996,f,7,1.0,70,1865.48410293648,0.7,4,600
11180:1052,2:3711104,f,7,1.0,30,113.355710299089,0.7,4,600
2:3709376,2:3709375,f,7,1.0,30,49.9470290364459,0.7,4,600
2:458112,12724:306737,f,4,2.0,70,203.552847581808,0.6,5,1200
16669:27297,16669:27289,f,0,2.0,80,519.840327591518,0.4,8,2000
12726:148654,16669:27516,f,7,1.0,50,80.7245122073261,0.7,4,600
11178:5994,11178:5990,f,4,2.0,30,11.9539859880033,0.6,5,1200
2:450349,2:450334,f,7,1.0,30,105.028976430054,0.7,4,600
2:457021,2:3709861,f,7,1.0,30,6.7115032595077,0.7,4,600
20656:358199,20656:2866147,f,7,1.0,50,61.9253870618724,0.7,4,600
20656:2827102,2:3711004,f,7,1.0,30,71.8877527435966,0.7,4,600
2:454770,16587:25599,f,4,2.0,50,151.995897337506,0.6,5,1200
2:3709076,11178:9316,f,7,1.0,50,35.1759663691195,0.7,4,600
16592:20528,10016:320044,f,7,1.0,40,9.70498509862809,0.7,4,600
2:454824,2:3709030,f,4,2.0,80,346.45977774794,0.6,5,1200
2:3708800,2480C1390,t,7,1.0,30,100.0,0.7,4,600
2:447890,2:447696,f,4,2.0,80,613.013530061456,0.6,5,1200
19306:3606,1:210104000,f,4,2.0,70,3.70783400337205,0.6,5,1200
2:3709196,2:455576,f,7,1.0,40,68.7854320112559,0.7,4,600
2:462366,2:462356,f,7,1.0,40,96.8568117956779,0.7,4,600
2:446190,11159:8665,f,3,2.0,100,807.183994601587,0.5,6,1800
2:435880,2:435842,f,5,1.0,70,210.499756656181,0.6,5,1200
20656:2852877,1:200307401,f,4,2.0,60,445.205899448028,0.6,5,1200
16587:24956,16587:24954,f,5,2.0,70,199.223728179749,0.6,5,1200
2:456138,12726:148358,f,5,2.0,40,32.9448586820228,0.6,5,1200
11178:2333,2:456135,f,7,1.0,30,202.511724406126,0.7,4,600
2:452270,2:3708136,f,5,2.0,50,56.6782899474242,0.6,5,1200
2:447233,2:447317,f,3,2.0,90,293.296033288883,0.5,6,1800
2:454251,2:454252,f,7,1.0,50,29.9312595385272,0.7,4,600
2:461721,2:461412,f,7,1.0,70,862.891639491061,0.7,4,600
20656:2875422,2:3708839,f,7,1.0,50,86.8979116707715,0.7,4,600
2:3709382,20656:2836438,f,7,1.0,30,97.459050205782,0.7,4,600
11178:7112,2:451799,f,7,1.0,30,59.8668673669225,0.7,4,600
2:457432,2:457493,f,5,2.0,70,113.068703549195,0.6,5,1200
2:460360,16592:22417,f,7,1.0,30,99.4028373666046,0.7,4,600
10027:759233,2:438632,f,5,2.0,90,113.022032542537,0.6,5,1200
16671:19723,16666:13941,f,0,2.0,90,610.578837108371,0.4,8,2000
2:456289,11178:6247,f,7,1.0,30,25.5160887277325,0.7,4,600
20656:2889552,12847:7442,f,7,1.0,40,53.1790947286036,0.7,4,600
2:3711049,11180:996,f,7,1.0,30,68.7351182527435,0.7,4,600
20656:2858948,2:3709535,f,7,1.0,30,15.9574124782556,0.7,4,600
2:460619,11180:1360,f,7,1.0,50,181.687402920876,0.7,4,600
20656:4004828,20656:4004822,f,7,1.0,30,70.0888574845894,0.7,4,600
11178:10145,11178:10147,f,7,1.0,50,201.086865469327,0.7,4,600
16593:48517,16593:48529,f,1,2.0,70,25.5549275757771,0.4,8,2000
2:3708818,2:3708654,f,7,1.0,50,24.9217141785055,0.7,4,600
2:3711006,2:3711005,f,7,1.0,30,28.7741534890388,0.7,4,600
2:3711705,2:462489,f,7,1.0,30,82.9305365514971,0.7,4,600
2:455576,2:455550,f,7,1.0,40,138.850500932016,0.7,4,600
16594:17435,20656:2826954,f,7,1.0,30,6.43894067411532,0.7,4,600
2:3708937,2:454228,f,4,2.0,50,163.95408292875,0.6,5,1200
11180:1405,2:460421,f,7,1.0,30,189.454369545733,0.7,4,600
2:452298,2:452675,f,4,2.0,70,926.507918211833,0.6,5,1200
16587:25339,16587:25341,f,7,1.0,50,61.5407347791485,0.7,4,600
2:460096,2:460072,f,4,2.0,80,95.1174340328378,0.6,5,1200
2:3709018,2:454331,f,7,1.0,30,90.765994550447,0.7,4,600
10747:2127,10747:2121,f,0,1.0,90,64.8093393651366,0.4,8,2000
16669:27285,20656:2872070,f,4,2.0,60,10.9932162262965,0.6,5,1200
2:453350,2:453312,f,4,2.0,50,101.711520235213,0.6,5,1200
11178:10183,2:3706595,f,7,1.0,50,136.903536020838,0.7,4,600
20656:2874832,20656:2874886,f,7,1.0,30,63.8428418404281,0.7,4,600
2:3709555,2:456452,f,7,1.0,30,270.188431298559,0.7,4,600
20656:2866460,2:459785,f,7,1.0,40,89.1205770291657,0.7,4,600
2:455194,2:3709099,f,7,1.0,40,149.542564174936,0.7,4,600
2:3709878,2:3709872,f,5,1.0,70,164.689506659842,0.6,5,1200
2:454461,2:454527,f,4,2.0,70,201.874291800365,0.6,5,1200
20656:2866488,2:460136,f,7,1.0,30,118.48841252825,0.7,4,600
18931:176039,18931:176005,f,7,1.0,70,26.6199968446451,0.7,4,600
2:453184,2:3708490,f,7,1.0,30,22.4797374718765,0.7,4,600
2:460084,2:460226,f,7,1.0,30,62.5060167182803,0.7,4,600
2:3709857,2:3709866,f,7,1.0,30,68.2374361205843,0.7,4,600
20656:2829470,20656:340896,f,7,1.0,40,7.28438919881935,0.7,4,600
10747:2179,10747:2205,f,0,2.0,110,1161.11412031978,0.4,8,2000
2:442792,2:442401,f,3,2.0,70,50.4377070559781,0.5,6,1800
2:455003,20656:2898170,f,7,1.0,30,87.2353012550918,0.7,4,600
2480C1270,10017:23000,t,7,1.0,30,100.0,0.7,4,600
10082:148630,2:454825,f,4,2.0,40,182.805661468973,0.6,5,1200
10027:793342,1:210101200,f,5,2.0,70,439.622445861404,0.6,5,1200
2:454730,2:454702,f,7,1.0,30,46.3241465809149,0.7,4,600
11179:669,20656:2823679,f,7,1.0,30,76.1180870397073,0.7,4,600
2:450810,2:450804,f,7,1.0,30,60.4787901985075,0.7,4,600
20656:2660997,20656:2661001,f,7,1.0,50,53.5334275124701,0.7,4,600
2:460007,2:460013,f,7,1.0,40,17.8525501458549,0.7,4,600
2:3709309,20656:2850092,f,7,1.0,30,322.9826793822,0.7,4,600
2:440247,2:440202,f,3,2.0,90,197.749031824621,0.5,6,1800
11178:6363,2:454617,f,7,1.0,40,120.316118980031,0.7,4,600
11180:1112,2:3711130,f,7,1.0,30,46.0135005732458,0.7,4,600
2:443166,2:443260,f,5,1.0,50,29.5004145903159,0.6,5,1200
2:445420,2:445395,f,5,2.0,70,238.218097346755,0.6,5,1200
20656:2858926,2:456115,f,7,1.0,40,50.6977485170115,0.7,4,600
16669:27230,12726:148629,f,7,1.0,50,22.8403877681329,0.7,4,600
2:460188,20656:2832227,f,7,1.0,30,183.582449167912,0.7,4,600
1:200301616,10082:93785,f,3,1.0,60,0.991520549180748,0.5,6,1800
1:210301200,2:3705466,f,4,2.0,70,1476.23293860086,0.6,5,1200
20656:2889574,2:454632,f,7,1.0,30,14.6820544883458,0.7,4,600
2:3711880,2:463018,f,4,2.0,80,81.7619154067189,0.6,5,1200
2:453821,12725:25589,f,7,1.0,40,71.3783016680156,0.7,4,600
2:460233,2:460231,f,7,1.0,30,117.311283979938,0.7,4,600
10027:776385,12850:38,f,7,1.0,30,14.2619892368465,0.7,4,600
22846:974,12000:8887,f,7,1.0,70,1035.7324589318,0.7,4,600
20656:343448,2:453370,f,7,1.0,40,860.190381485524,0.7,4,600
2:3709964,2:457379,f,5,2.0,70,69.6265934691483,0.6,5,1200
1:200300800,2:452865,f,4,2.0,70,153.806368369503,0.6,5,1200
2:443551,2:443559,f,5,2.0,70,52.3541837932533,0.6,5,1200
10027:775859,2:454897,f,7,1.0,30,93.5336843556671,0.7,4,600
13474:44304,13474:44312,f,5,2.0,70,42.6126756470994,0.6,5,1200
2:3709612,2:456300,f,4,2.0,80,47.7395282103968,0.6,5,1200
16592:21112,16592:22417,f,7,1.0,30,87.1948036292795,0.7,4,600
2:455772,2:455786,f,4,2.0,50,52.9358973948903,0.6,5,1200
2:446446,2:3706769,f,7,1.0,50,47.0504093577639,0.7,4,600
11158:93318,11158:93334,f,7,1.0,40,12.5689290546958,0.7,4,600
20661:3908,20661:3910,f,7,1.0,30,73.9290879268518,0.7,4,600
20656:2836210,20656:2836428,f,7,1.0,30,112.655986321391,0.7,4,600
10027:792844,2:439812,f,3,2.0,90,193.735289320936,0.5,6,1800
2:455440,20656:2836340,f,7,1.0,30,51.1440487105047,0.7,4,600
12723:126726,19303:5105,f,0,1.0,90,1021.32375985809,0.4,8,2000
2:444481,2:444759,f,7,1.0,70,626.704598670778,0.7,4,600
2:451213,2:451293,f,0,2.0,80,184.306416194885,0.4,8,2000
2:460012,2:459916,f,5,1.0,60,278.23002832167,0.6,5,1200
2:459753,16666:13987,f,7,1.0,30,36.3221271127343,0.7,4,600
20656:340894,20656:340896,f,7,1.0,40,215.460532745102,0.7,4,600
2:3708558,20656:2888069,f,7,1.0,60,13.1630508241401,0.7,4,600
